height,width
64,20
69,21
53,24
78,25
47,19
41,18
82,43
53,21
511,281
74,28
62,22
78,22
81,27
80,21
51,29
90,27
217,151
179,57
117,46
60,20
59,46
57,17
64,22
53,17
186,72
269,93
53,27
54,25
52,19
82,42
85,50
101,41
94,50
50,22
51,15
65,29
122,47
261,105
212,81
206,60
104,36
122,64
113,63
67,19
106,35
123,45
103,52
73,30
77,20
223,32
229,87
138,48
141,57
446,192
233,131
284,107
211,77
143,54
67,21
121,32
118,53
81,26
53,18
45,21
64,17
156,50
169,55
110,46
141,64
74,28
78,23
78,26
117,35
73,29
76,28
83,30
84,28
87,29
167,86
189,55
165,53
177,78
48,25
95,29
168,60
255,98
268,102
437,159
207,87
617,227
223,58
203,43
271,64
86,52
123,42
121,51
115,39
109,35
119,46
107,42
65,46
72,35
103,28
69,26
89,29
50,18
55,20
110,25
118,61
124,75
116,62
82,32
120,57
120,64
81,28
93,38
103,49
107,36
71,31
44,45
111,28
115,24
120,28
124,40
122,18
139,39
110,24
79,19
61,17
69,20
59,15
78,35
37,22
54,24
50,17
126,35
59,22
176,50
152,58
197,45
217,49
194,32
262,113
337,82
169,56
176,49
215,78
242,54
362,111
265,96
91,31
108,31
110,36
115,48
114,46
97,29
103,25
175,74
187,67
146,61
202,68
276,71
208,69
292,78
200,90
189,50
188,60
130,28
119,38
128,39
127,39
81,25
76,19
75,23
70,21
121,38
117,46
59,39
131,39
94,30
114,53
58,26
381,141
71,24
59,25
83,30
66,30
50,27
83,36
37,25
34,21
39,24
61,18
143,79
137,46
83,34
143,32
151,35
177,38
142,34
167,43
149,39
151,39
140,35
135,21
62,33
68,22
50,22
50,18
78,22
44,14
45,13
28,17
130,50
119,49
124,36
106,46
106,27
103,42
97,31
104,28
96,27
99,34
98,42
80,29
80,24
117,43
86,25
44,14
75,31
79,27
75,25
82,26
43,16
39,14
110,37
103,32
151,53
166,58
133,53
146,46
154,55
153,34
147,53
84,43
83,32
93,26
154,73
163,43
135,49
142,68
118,42
103,50
105,36
85,23
99,29
114,50
99,39
98,35
98,35
150,78
64,33
107,33
139,36
124,26
152,44
140,42
121,35
51,29
152,45
106,50
110,29
84,22
83,25
59,14
221,75
243,67
133,47
141,75
151,50
146,42
136,39
99,33
94,34
89,29
87,35
80,24
75,31
83,31
81,31
62,17
84,21
59,28
74,41
69,26
64,21
68,19
61,17
78,25
42,21
119,67
77,39
97,53
95,41
366,166
373,154
364,166
311,198
126,75
138,60
134,64
138,65
107,51
96,32
107,36
66,30
62,29
60,24
96,27
199,53
174,57
93,29
97,27
121,62
212,43
105,43
156,28
158,28
91,37
153,43
62,21
89,54
63,21
101,35
114,46
160,75
71,29
86,32
66,28
78,32
171,70
53,25
206,60
207,64
196,64
182,57
192,57
49,19
58,16
51,18
74,32
75,27
66,36
75,29
230,60
218,48
73,36
77,21
57,22
57,28
364,131
377,101
122,64
107,41
101,40
67,21
73,28
73,19
117,49
283,111
93,49
125,50
89,48
53,14
52,16
51,17
135,66
166,89
174,80
71,24
65,34
53,45
67,44
57,22
71,21
71,15
423,175
168,61
78,33
231,88
190,58
135,48
149,43
57,22
61,21
