height,width
30,13
32,14
38,25
217,43
196,189
47,18
83,28
86,34
34,29
165,89
88,56
37,18
178,50
111,34
107,39
123,26
109,27
75,29
24,27
26,12
46,16
51,24
25,23
46,25
34,14
27,14
114,36
62,44
32,32
31,10
64,33
117,46
117,38
178,53
153,81
117,42
127,29
168,85
82,26
98,28
62,40
66,24
66,25
88,32
101,37
300,106
83,25
118,60
91,69
277,156
160,47
160,43
29,16
93,33
64,28
60,26
149,82
59,20
57,22
51,32
75,34
139,53
141,49
112,67
127,46
66,42
76,22
60,23
147,39
82,42
86,27
90,36
181,77
126,28
213,62
194,59
119,57
70,37
54,15
141,43
219,69
81,22
68,24
170,49
122,28
92,31
103,39
186,44
59,22
57,18
49,17
75,29
46,32
62,28
87,21
49,19
64,22
39,18
177,76
114,43
71,44
74,39
98,69
281,96
122,67
75,24
69,22
67,18
109,36
43,22
42,21
39,35
66,21
57,22
185,50
132,59
120,39
27,27
71,23
138,47
82,46
122,37
100,32
101,36
97,28
146,57
57,19
51,16
27,21
88,29
155,65
51,18
69,35
76,25
94,40
70,22
40,14
94,36
140,41
148,32
49,14
71,37
132,52
51,26
129,41
101,48
64,18
211,59
185,68
112,44
79,25
69,26
60,18
148,51
71,33
195,85
150,53
64,17
59,21
76,19
177,79
83,39
129,49
135,59
77,28
141,64
169,55
189,100
80,21
53,15
158,35
139,42
42,11
62,21
64,15
62,16
57,18
195,52
556,192
75,29
47,21
90,43
149,68
64,25
57,28
131,39
114,43
95,29
125,34
74,48
66,44
87,35
99,46
110,57
79,31
53,25
69,19
82,19
80,39
200,103
103,30
62,23
27,23
139,64
225,106
64,24
78,49
152,41
121,36
124,102
137,68
130,71
44,17
78,33
130,45
118,50
95,38
76,25
178,52
327,103
53,25
158,46
149,50
67,25
19,14
35,15
25,12
22,12
48,16
32,11
46,16
68,24
124,53
67,22
388,110
48,20
145,61
48,18
97,49
89,46
46,17
42,17
50,14
85,40
73,28
94,72
122,82
149,54
42,15
64,31
503,238
94,21
208,64
230,71
81,47
77,29
51,18
52,28
50,30
73,16
61,24
52,20
63,40
50,13
37,14
54,18
163,50
34,18
124,55
133,58
58,23
44,17
32,12
152,63
100,38
140,44
349,95
302,92
139,50
32,34
72,28
60,27
83,32
92,34
60,19
39,30
460,154
259,98
47,24
75,34
219,193
123,41
91,28
69,35
64,25
211,59
48,17
35,14
368,164
67,20
61,15
87,27
64,24
64,28
63,25
60,20
255,79
165,47
244,59
71,18
514,217
72,51
109,43
79,31
46,20
75,27
55,26
43,14
78,27
81,25
192,54
44,23
50,19
57,19
30,9
155,74
37,18
58,34
44,36
92,35
102,38
91,33
100,42
34,17
36,11
152,64
109,40
34,24
61,25
53,23
157,74
85,115
35,18
57,18
71,91
111,35
71,23
59,18
32,15
80,39
62,20
109,47
146,39
188,99
37,13
128,54
138,65
190,96
67,37
42,16
234,104
34,15
34,14
99,32
109,37
36,12
31,47
161,59
187,71
58,28
160,77
475,236
140,85
35,14
64,20
163,59
110,32
248,95
94,84
33,14
98,56
252,81
212,76
98,46
65,24
123,53
94,39
48,24
55,17
72,32
84,34
45,14
80,22
90,53
44,21
50,21
152,60
94,40
84,20
29,41
222,111
55,15
58,20
59,30
78,27
70,29
68,31
102,31
111,26
71,23
99,25
80,39
429,143
73,40
101,57
69,28
126,46
35,16
68,26
92,29
95,43
101,32
270,79
80,39
76,23
154,87
69,25
178,76
76,33
63,22
370,181
64,45
93,36
48,20
107,64
