height,width
500,206
233,91
71,29
194,99
166,37
226,88
83,39
124,40
143,53
229,93
127,45
310,166
117,37
136,50
222,53
120,42
139,55
221,94
446,212
224,99
243,112
377,112
316,102
113,39
154,40
173,53
319,107
71,42
392,97
115,48
166,50
207,51
105,40
124,53
270,107
108,45
219,61
142,43
328,233
161,56
297,102
316,115
154,53
420,172
207,64
515,180
105,53
64,15
191,56
251,107
149,59
434,228
126,75
508,177
286,64
244,67
142,56
119,72
205,112
383,118
176,54
195,67
341,121
198,72
258,123
137,62
290,75
362,180
188,64
191,69
232,70
89,21
314,139
267,64
244,80
347,178
278,78
405,119
264,143
281,83
93,32
86,29
213,70
359,124
89,34
171,73
639,178
308,78
621,309
247,68
123,32
269,86
62,22
116,29
220,86
118,38
544,146
403,207
172,45
213,83
521,199
92,22
111,35
372,76
421,197
247,81
352,97
252,159
104,32
164,46
250,86
208,89
342,89
138,30
391,210
157,43
363,148
96,33
160,48
99,38
118,51
57,41
92,35
111,48
152,49
611,334
110,52
434,149
145,46
217,151
84,36
103,49
590,167
268,116
106,54
96,46
242,100
302,114
99,51
140,52
200,103
420,106
184,95
428,226
133,49
298,116
237,106
228,57
272,100
84,49
170,52
103,62
189,65
147,68
188,106
207,119
265,60
311,176
163,49
182,62
121,52
401,106
82,60
450,227
174,63
177,68
209,57
503,238
52,73
332,127
109,55
293,135
347,112
77,22
223,76
80,27
162,66
267,119
165,71
285,136
101,86
155,63
174,76
260,79
72,28
158,68
177,81
218,82
322,176
234,63
65,25
68,30
204,76
199,82
704,254
234,76
192,79
90,31
150,82
255,135
296,136
226,77
553,206
245,90
83,28
143,42
248,95
146,84
528,149
44,36
136,39
241,92
120,31
139,44
78,34
317,87
377,101
418,139
275,90
674,324
132,41
71,31
90,44
442,203
226,90
331,106
105,29
124,42
418,260
143,55
108,34
127,47
187,98
206,111
85,50
250,154
117,39
263,93
282,106
120,44
221,96
154,42
112,45
131,58
277,112
268,63
188,40
312,106
105,42
124,55
210,58
430,98
256,174
108,47
127,60
168,61
209,99
