height,width
79,33
98,46
71,29
63,25
40,41
60,19
146,59
260,44
52,15
112,66
185,50
75,35
241,67
53,16
72,29
45,12
64,25
56,21
117,37
109,33
59,32
78,45
97,58
98,23
49,18
101,28
48,22
154,40
91,20
102,29
94,25
60,32
52,28
44,24
158,46
104,75
105,40
108,45
34,16
78,22
89,31
149,82
55,38
47,34
98,36
63,15
82,28
194,89
259,75
75,25
135,39
41,32
74,29
25,24
93,42
85,38
64,15
51,45
448,126
67,26
107,62
59,22
78,35
70,31
89,44
244,67
28,34
71,32
112,33
258,87
40,44
60,22
73,41
52,18
44,14
105,30
191,33
124,43
157,40
343,167
66,38
126,52
37,11
97,25
203,43
89,21
36,15
55,28
47,24
59,35
245,45
48,25
364,81
73,54
33,18
85,28
145,79
32,22
292,98
130,36
96,43
86,29
78,25
70,21
89,34
134,42
63,18
123,32
115,28
62,22
81,35
195,57
73,31
137,52
116,29
74,32
114,68
160,35
66,28
51,48
35,40
55,18
47,14
59,25
92,22
111,35
58,29
175,56
133,59
179,26
112,36
104,32
164,46
91,62
81,48
114,45
428,92
85,18
31,47
32,12
51,25
43,21
157,43
149,39
35,17
96,33
295,93
88,29
126,55
368,83
233,38
387,96
36,18
163,59
317,117
134,32
80,24
100,39
92,35
58,42
144,45
77,55
62,12
81,25
73,21
39,28
84,36
95,45
114,58
87,41
66,18
32,25
84,72
35,30
76,31
88,42
46,45
111,25
171,76
217,43
58,19
77,32
50,15
68,63
69,28
61,24
80,37
91,52
83,48
62,25
103,26
54,21
209,44
51,15
43,11
103,62
477,123
107,32
99,28
65,35
92,25
50,28
42,24
216,60
316,147
39,18
186,37
84,26
103,39
95,35
87,31
201,53
253,63
72,51
45,34
198,127
170,65
76,21
68,17
88,32
140,42
77,22
69,18
61,14
80,27
27,21
141,43
132,74
30,26
75,34
114,25
106,21
53,15
72,28
159,33
23,23
64,24
84,39
124,75
107,22
53,51
65,25
57,21
49,17
68,30
121,42
67,71
132,51
71,41
50,18
42,14
110,32
102,28
173,88
103,29
384,128
95,25
87,21
127,57
106,34
34,15
53,28
45,24
109,45
148,36
140,32
46,25
78,57
79,22
98,35
244,89
90,31
82,27
101,40
215,62
113,51
59,80
133,29
225,112
91,32
63,50
83,28
75,24
143,42
155,53
41,31
33,27
25,23
44,36
117,26
34,28
139,44
86,38
78,34
68,20
121,32
162,33
67,61
79,35
71,31
63,27
131,45
110,22
82,40
48,47
60,21
174,43
52,17
44,13
104,64
105,29
116,38
135,51
